name,coil_type,x,y,z,ex_x,ex_y,ex_z,ey_x,ey_y,ey_z,ez_x,ez_y,ez_z
MLC11-2908,5001,-0.011208,0.066410,0.077882,0.743336,0.622237,-0.245505,-0.667660,0.667660,-0.329333,-0.041010,0.408719,0.911738
MLC12-2908,5001,-0.029377,0.055086,0.080087,0.729741,0.677331,-0.093276,-0.657139,0.657139,-0.369237,-0.188801,0.330743,0.924642
MLC13-2908,5001,-0.048940,0.046761,0.077050,0.688131,0.724149,0.045643,-0.617483,0.617483,-0.487266,-0.381037,0.307119,0.872060
MLC14-2908,5001,-0.067813,0.034319,0.070854,0.601464,0.782830,0.159432,-0.550976,0.550976,-0.626779,-0.578504,0.289142,0.762712
MLC15-2908,5001,-0.082364,0.020713,0.063230,0.533681,0.812381,0.234992,-0.541801,0.541801,-0.642575,-0.649335,0.215611,0.729298
MLC16-2908,5001,-0.092564,0.003996,0.054394,0.403172,0.893518,0.197680,-0.350223,0.350223,-0.868728,-0.845456,0.281015,0.454130
MLC17-2908,5001,-0.096570,-0.014194,0.040090,-0.003109,0.956971,0.290167,-0.277911,0.277911,-0.919528,-0.960602,-0.083500,0.265088
MLC21-2908,5001,-0.032417,0.034322,0.086215,0.717531,0.695245,-0.042239,-0.662502,0.662502,-0.349544,-0.215035,0.278792,0.935967
MLC22-2908,5001,-0.051732,0.026067,0.082439,0.675389,0.733158,0.079556,-0.629033,0.629033,-0.456764,-0.384924,0.258450,0.886023
MLC23-2908,5001,-0.067840,0.013360,0.076709,0.563376,0.790899,0.238928,-0.586532,0.586532,-0.558534,-0.581883,0.174526,0.794326
MLC24-2908,5001,-0.079776,-0.002873,0.071151,0.529676,0.819133,0.220146,-0.517863,0.517863,-0.680909,-0.671760,0.246655,0.698498
MLC25-2908,5001,-0.087963,-0.020582,0.058993,0.174408,0.881685,0.438421,-0.466124,0.466124,-0.751969,-0.867358,-0.073209,0.492270
MLC31-2908,5001,-0.060904,-0.005749,0.084315,0.578927,0.770524,0.266713,-0.630436,0.630436,-0.452882,-0.517101,0.094040,0.850742
MLC32-2908,5001,-0.075071,-0.025033,0.075763,0.287543,0.759499,0.583508,-0.613809,0.613809,-0.496464,-0.735226,-0.215408,0.642683
MLC41-2908,5001,-0.044002,0.007164,0.089787,0.682929,0.726113,0.079799,-0.660409,0.660409,-0.357379,-0.312197,0.191364,0.930544
MLC42-2908,5001,-0.056644,-0.026691,0.087498,0.557638,0.744418,0.367263,-0.665390,0.665390,-0.338398,-0.496283,-0.055670,0.866374
MLC51-2908,5001,-0.011435,0.031052,0.090011,0.722355,0.669679,-0.172431,-0.691165,0.691165,-0.211144,-0.022220,0.271699,0.962126
MLC52-2908,5001,-0.023376,0.013224,0.093206,0.715985,0.695845,-0.056258,-0.685486,0.685486,-0.245396,-0.132194,0.214264,0.967789
MLC53-2908,5001,-0.040660,-0.013765,0.093858,0.671713,0.726636,0.144226,-0.682786,0.682786,-0.260013,-0.287411,0.076179,0.954773
MLC54-2908,5001,-0.038874,-0.036784,0.093824,0.646942,0.697631,0.307860,-0.702363,0.702363,-0.115643,-0.296906,-0.141415,0.944378
MLC55-2908,5001,-0.028816,-0.055651,0.091562,0.682008,0.607198,0.407647,-0.701228,0.701228,0.128686,-0.207716,-0.373618,0.904027
MLC61-2908,5001,-0.012099,-0.004949,0.098104,0.712023,0.699775,-0.057769,-0.699292,0.699292,-0.148264,-0.063354,0.145965,0.987259
MLC62-2908,5001,-0.022103,-0.023945,0.098446,0.695601,0.711169,0.101876,-0.703014,0.703014,-0.107431,-0.148022,0.003108,0.988979
MLC63-2908,5001,-0.011664,-0.043691,0.097812,0.703955,0.676273,0.217030,-0.704248,0.704248,0.089825,-0.092096,-0.216076,0.972023
MLF11-2908,5001,-0.022705,0.122754,-0.011827,0.008482,-0.037437,0.999263,0.975282,0.220963,0.000000,-0.220800,0.974563,0.038386
MLF12-2908,5001,-0.044133,0.114956,-0.014163,0.018254,-0.037141,0.999143,0.897468,0.441080,-0.000000,-0.440702,0.896699,0.041384
MLF13-2908,5001,-0.062963,0.103760,-0.019639,0.021224,-0.026165,0.999432,0.776627,0.629960,0.000000,-0.629603,0.776186,0.033691
MLF14-2908,5001,-0.077271,0.088796,-0.029188,0.567604,0.823290,0.004394,-0.017179,0.017179,-0.999705,-0.823122,0.567361,0.023895
MLF21-2908,5001,-0.011130,0.123530,0.008045,0.018101,-0.116223,0.993058,0.988088,0.153888,0.000000,-0.152820,0.981229,0.117624
MLF22-2908,5001,-0.032287,0.118529,0.007357,0.031005,-0.090696,0.995396,0.946236,0.323477,-0.000000,-0.321987,0.941880,0.095849
MLF23-2908,5001,-0.051554,0.110706,0.005185,0.042070,-0.092831,0.994793,0.910831,0.412779,0.000000,-0.410629,0.906088,0.101919
MLF24-2908,5001,-0.069633,0.096620,-0.000027,0.621735,0.783215,0.004415,-0.027322,0.027322,-0.999253,-0.782751,0.621150,0.038386
MLF25-2908,5001,-0.081194,0.080834,-0.009116,0.484433,0.874771,0.009997,-0.025596,0.025596,-0.999345,-0.874454,0.483860,0.034790
MLF31-2908,5001,-0.022015,0.116028,0.026819,0.077204,-0.323745,0.942989,0.972723,0.231969,0.000000,-0.218744,0.917268,0.332823
MLF32-2908,5001,-0.042654,0.110024,0.024991,0.088634,-0.226299,0.970017,0.931128,0.364692,-0.000000,-0.353757,0.903210,0.243038
MLF33-2908,5001,-0.062415,0.098330,0.021643,0.672218,0.740220,0.014044,-0.198240,0.198240,-0.959897,-0.713319,0.642476,0.280002
MLF34-2908,5001,-0.077044,0.084038,0.015639,0.527636,0.849052,0.026646,-0.082337,0.082337,-0.993197,-0.845471,0.521853,0.113352
MLF35-2908,5001,-0.086906,0.067075,0.006730,0.386420,0.922140,0.018355,-0.034221,0.034221,-0.998828,-0.921688,0.385339,0.044781
MLF41-2908,5001,-0.011232,0.108701,0.044777,0.882204,0.322184,-0.343386,-0.463253,0.463253,-0.755508,-0.084338,0.825587,0.557936
MLF42-2908,5001,-0.032245,0.104991,0.043754,0.108835,-0.440345,0.891208,0.970788,0.239938,0.000000,-0.213835,0.865174,0.453595
MLF43-2908,5001,-0.053297,0.095596,0.041187,0.735078,0.677493,-0.025741,-0.377837,0.377837,-0.845268,-0.562938,0.631064,0.533722
MLF44-2908,5001,-0.069267,0.082604,0.036899,0.677470,0.735190,0.023018,-0.347361,0.347361,-0.871023,-0.648363,0.582096,0.490703
MLF45-2908,5001,-0.083808,0.067219,0.027785,0.384500,0.922034,0.044859,-0.082879,0.082879,-0.993107,-0.919397,0.378132,0.108284
MLF46-2908,5001,-0.093823,0.048079,0.015099,0.373401,0.926998,0.035308,-0.063521,0.063521,-0.995957,-0.925493,0.369648,0.082603
MLF51-2908,5001,-0.018784,0.095732,0.060421,-0.833516,0.408180,-0.372344,-0.550074,-0.550074,0.628360,0.051667,0.728565,0.683025
MLF52-2908,5001,-0.041118,0.088868,0.057897,0.746778,0.661714,-0.066765,-0.525350,0.525350,-0.669340,-0.407836,0.534923,0.739951
MLF53-2908,5001,-0.059693,0.077472,0.054734,0.708729,0.705479,-0.001793,-0.434878,0.434878,-0.788519,-0.555504,0.559626,0.615008
MLF54-2908,5001,-0.075239,0.063624,0.048374,0.554720,0.822700,0.124302,-0.387848,0.387848,-0.836150,-0.736111,0.415619,0.534230
MLF55-2908,5001,-0.089372,0.047617,0.035964,0.340799,0.933982,0.107398,-0.175395,0.175395,-0.968748,-0.923630,0.311312,0.223590
MLF56-2908,5001,-0.099481,0.028884,0.022275,0.332558,0.938980,0.087874,-0.141956,0.141956,-0.979641,-0.932338,0.313314,0.180502
MLF61-2908,5001,-0.028458,0.076933,0.070371,0.761381,0.627656,-0.162314,-0.610989,0.610989,-0.503374,-0.216774,0.482432,0.848687
MLF62-2908,5001,-0.047469,0.067259,0.069356,0.719648,0.693869,-0.025544,-0.575577,0.575577,-0.580880,-0.388352,0.432732,0.813588
MLF63-2908,5001,-0.064553,0.054999,0.064702,0.609708,0.781552,0.132032,-0.520299,0.520299,-0.677184,-0.597951,0.344188,0.723871
MLF64-2908,5001,-0.079979,0.043008,0.055827,0.551510,0.816324,0.171615,-0.477761,0.477761,-0.737218,-0.683799,0.324592,0.653497
MLF65-2908,5001,-0.092819,0.028530,0.044594,0.295052,0.944563,0.144031,-0.211591,0.211591,-0.954179,-0.931758,0.251057,0.262292
MLF66-2908,5001,-0.100203,0.011587,0.034519,0.257662,0.960388,0.106137,-0.147704,0.147704,-0.977940,-0.954879,0.236302,0.179911
MLF67-2908,5001,-0.102216,-0.006903,0.020993,-0.130232,0.979777,0.151911,-0.134362,0.134362,-0.981781,-0.982337,-0.148270,0.114147
MLO11-2908,5001,-0.024392,-0.119634,0.012453,0.894208,-0.257912,0.365887,-0.289701,0.289701,0.912221,-0.341270,-0.921713,0.184336
