Site	 Theta	Phi
A1	0	0
A2	11.5	-90
A3	23	-90
A4	34.5	-90
A5	-46	67.5
A6	-46	45
A7	-57.5	45
A8	-69	54
A9	-80.5	54
A10	-92	54
A11	-103.5	54
A12	-115	54
A13	-115	72
A14	-103.5	72
A15	-92	72
A16	-80.5	72
A17	-69	72
A18	-57.5	67.5
A19	46	-90
A20	57.5	-90
A21	69	-90
A22	80.5	-90
A23	92	-90
A24	103.5	-90
A25	115	-90
A26	115	-72
A27	103.5	-72
A28	92	-72
A29	80.5	-72
A30	69	-72
A31	57.5	-67.5
A32	46	-67.5
B1	11.5	-18
B2	23	-45
B3	46	-45
B4	57.5	-45
B5	69	-54
B6	80.5	-54
B7	92	-54
B8	103.5	-54
B9	115	-54
B10	103.5	-36
B11	92	-36
B12	80.5	-36
B13	69	-36
B14	92	-18
B15	80.5	-18
B16	69	-18
B17	57.5	-22.5
B18	46	-22.5
B19	34.5	-30
B20	23	0
B21	34.5	0
B22	46	0
B23	57.5	0
B24	69	0
B25	80.5	0
B26	92	0
B27	92	18
B28	80.5	18
B29	69	18
B30	57.5	22.5
B31	46	22.5
B32	34.5	30
C1	11.5	54
C2	23	45
C3	46	45
C4	57.5	45
C5	69	36
C6	80.5	36
C7	92	36
C8	92	54
C9	80.5	54
C10	69	54
C11	34.5	60
C12	46	67.5
C13	57.5	67.5
C14	69	72
C15	80.5	72
C16	92	72
C17	92	90
C18	80.5	90
C19	69	90
C20	57.5	90
C21	46	90
C22	34.5	90
C23	23	90
C24	-34.5	-60
C25	-46	-67.5
C26	-57.5	-67.5
C27	-69	-72
C28	-80.5	-72
C29	-92	-72
C30	-92	-54
C31	-80.5	-54
C32	-69	-54
D1	-11.5	-54
D2	-23	-45
D3	-46	-45
D4	-57.5	-45
D5	-69	-36
D6	-80.5	-36
D7	-92	-36
D8	-92	-18
D9	-80.5	-18
D10	-69	-18
D11	-57.5	-22.5
D12	-46	-22.5
D13	-34.5	-30
D14	-23	0
D15	-11.5	18
D16	-23	45
D17	-34.5	30
D18	-34.5	0
D19	-46	0
D20	-57.5	0
D21	-69	0
D22	-80.5	0
D23	-92	0
D24	-92	18
D25	-80.5	18
D26	-69	18
D27	-57.5	22.5
D28	-46	22.5
D29	-69	36
D30	-80.5	36
D31	-92	36
D32	-103.5	36
Nz	 115	 90
LPA	-115	  0
RPA	 115	  0
